,O100,O99,O98,O97,O96,O95,O94,O93,O92,O91,O90,O89,O88,O87,O86,O85,O84,O83,O82,O81,O80,O79,O78,O77,O76,O75,O74,O73,O72,O71,O70,O69,O68,O67,O66,O65,O64,O63,O62,O61,O60,O59,O58,O57,O56,O55,O54,O53,O52,O51,O50,O49,O48,O47,O46,O45,O44,O43,O42,O41,O40,O39,O38,O37,O36,O35,O34,O33,O32,O31,O30,O29,O28,O27,O26,O25,O24,O23,O22,O21,O20,O19,O18,O17,O16,O15,O14,O13,O12,O11,O10,O9,O8,O7,O6,O5,O4,O3,O2,O1
Buzzard Creek 1,0.49535,0.72334,0.78442,0.7722,0.6749,0.69927,0.73821,0.73126,0.70187,0.722,0.67926,0.70009,0.71255,0.70055,0.63851,0.58125,0.59267,0.59557,0.58883,0.58553,0.59325,0.5822,0.59241,0.60372,0.58749,0.57343,0.54974,0.54164,0.55662,0.55591,0.54138,0.53179,0.53862,0.52449,0.54387,0.53111,0.52453,0.51613,0.48088,0.50647,0.51934,0.52681,0.53062,0.50002,0.48212,0.48731,0.46121,0.45603,0.46443,0.45561,0.44986,0.43864,0.44707,0.4273,0.42206,0.431,0.4082,0.40318,0.40563,0.38708,0.38546,0.37998,0.37127,0.36611,0.36121,0.35799,0.34711,0.34257,0.35087,0.32223,0.30745,0.30796,0.30585,0.29432,0.28962,0.28596,0.32856,0.40921,0.46781,0.55128,0.59693,0.63742,0.64232,0.6699,0.69711,0.70497,0.7007,0.68568,0.68413,0.6576,0.61411,0.55842,0.51064,0.4862,0.37803,0.36809,0.32624,0.30502,0.28875,0.31471
Buzzard Creek 2,0.74418,0.70668,0.65975,0.6331,0.60255,0.59213,0.5883,0.56487,0.52454,0.51732,0.51783,0.59246,0.60795,0.60567,0.6336,0.60416,0.60355,0.58981,0.56196,0.56543,0.52285,0.50748,0.54174,0.53509,0.52334,0.56069,0.5544,0.52759,0.53956,0.51298,0.50714,0.4992,0.50792,0.50438,0.50021,0.52041,0.53672,0.50572,0.47888,0.48967,0.55647,0.54499,0.50416,0.4794,0.48488,0.49832,0.49673,0.5089,0.48914,0.46127,0.4726,0.50628,0.5108,0.50561,0.52267,0.54504,0.55528,0.5418,0.53315,0.5267,0.52811,0.54668,0.54611,0.53064,0.5548,0.57113,0.56615,0.55495,0.53418,0.54142,0.52203,0.51475,0.52322,0.49996,0.45169,0.42593,0.41023,0.36527,0.3591,0.31665,0.30232,0.2961,0.29068,0.27909,0.26641,0.25866,0.2519,0.23317,0.2017,0.15342,0.13835,0.12766,0.11861,0.10399,0.087448,0.081867,0.07403,0.079744,0.068363,0.040561
Buzzard Creek 3,0.81869,0.67784,0.65856,0.60725,0.61795,0.67054,0.71304,0.76373,0.76868,0.74158,0.71955,0.68502,0.66441,0.66283,0.66263,0.66431,0.66218,0.63942,0.64812,0.63841,0.62233,0.64179,0.64875,0.63087,0.60989,0.58753,0.57685,0.55771,0.55802,0.53022,0.50998,0.50044,0.49028,0.48285,0.47711,0.48514,0.47159,0.47727,0.4646,0.45037,0.44482,0.44094,0.47516,0.50165,0.49673,0.50967,0.49642,0.51047,0.52942,0.56934,0.5739,0.59249,0.57633,0.58113,0.56049,0.55471,0.5551,0.57436,0.57926,0.57103,0.56587,0.55849,0.55405,0.54574,0.53787,0.53237,0.51616,0.50716,0.49209,0.48223,0.49519,0.47358,0.46656,0.4664,0.47556,0.46568,0.48083,0.48883,0.46758,0.46547,0.43542,0.42048,0.40778,0.38856,0.38118,0.32952,0.30422,0.25157,0.22032,0.19873,0.1553,0.11859,0.10168,0.085324,0.065266,0.058993,0.051559,0.050188,0.052735,0.050305
Buzzard Creek 4,0.45942,0.50517,0.53993,0.55645,0.6,0.55633,0.57308,0.59907,0.55984,0.57563,0.55944,0.60042,0.59898,0.59989,0.62535,0.65411,0.65881,0.62991,0.58176,0.55853,0.54603,0.55414,0.54602,0.55034,0.55097,0.53603,0.52639,0.52239,0.5276,0.53156,0.52724,0.54384,0.58638,0.57655,0.55685,0.58245,0.57175,0.59359,0.57881,0.58648,0.58243,0.55829,0.55955,0.55026,0.55807,0.53515,0.53209,0.50298,0.49607,0.51074,0.52875,0.5092,0.51613,0.51148,0.50946,0.50777,0.51299,0.50094,0.49855,0.51259,0.52359,0.52599,0.51766,0.49794,0.52987,0.5461,0.55381,0.5672,0.55675,0.57385,0.58772,0.57028,0.58422,0.62762,0.6337,0.64397,0.63401,0.64003,0.64171,0.6242,0.59866,0.57411,0.54317,0.49991,0.48513,0.48802,0.42504,0.40221,0.4013,0.37106,0.37601,0.36377,0.34353,0.33584,0.3142,0.2802,0.2716,0.26579,0.24792,0.23975
Buzzard Creek 5,0.6018,0.49905,0.46149,0.47425,0.45885,0.49208,0.41375,0.49996,0.47077,0.46203,0.50397,0.49067,0.49594,0.42537,0.45505,0.49522,0.48918,0.46788,0.5048,0.52099,0.54181,0.56227,0.58067,0.59442,0.59221,0.58088,0.60234,0.59396,0.56133,0.56395,0.55629,0.51918,0.51097,0.51304,0.52248,0.51023,0.51386,0.48133,0.49924,0.49682,0.49906,0.49988,0.50736,0.51686,0.54159,0.542,0.5235,0.49171,0.45921,0.46246,0.47632,0.4925,0.49741,0.51353,0.52133,0.49593,0.51717,0.5164,0.53571,0.52672,0.54034,0.52207,0.53985,0.54919,0.52749,0.51614,0.49322,0.50767,0.50722,0.50167,0.51906,0.519,0.51564,0.51816,0.52811,0.51681,0.51565,0.51753,0.51658,0.50871,0.50565,0.49299,0.46664,0.45964,0.44674,0.4224,0.40373,0.38594,0.39568,0.38694,0.38985,0.36878,0.34718,0.31811,0.29917,0.27231,0.25388,0.2384,0.22388,0.22191
Buzzard Creek 6,0.16686,0.40265,0.54987,0.53879,0.47911,0.49958,0.5373,0.56615,0.55049,0.55799,0.58438,0.5843,0.57183,0.61167,0.63654,0.62062,0.61851,0.63559,0.60985,0.58812,0.60627,0.60048,0.623,0.60095,0.60607,0.60088,0.59821,0.61733,0.61743,0.58303,0.57113,0.5703,0.57432,0.55655,0.55422,0.57018,0.57666,0.55601,0.55065,0.56742,0.5726,0.55112,0.54213,0.53601,0.53745,0.54511,0.56604,0.57788,0.5806,0.56294,0.55578,0.56101,0.54855,0.55155,0.51959,0.51269,0.5146,0.50089,0.51201,0.49977,0.54145,0.55285,0.51363,0.52133,0.5271,0.51855,0.53927,0.51669,0.53233,0.5141,0.49132,0.48325,0.48038,0.46507,0.46648,0.48248,0.47301,0.458,0.44386,0.44991,0.47264,0.47082,0.47857,0.47438,0.46575,0.47588,0.4835,0.52306,0.55391,0.55642,0.56317,0.57272,0.55825,0.55888,0.57217,0.55869,0.55654,0.56363,0.54968,0.52735
Buzzard Creek 7,0.6029,0.67292,0.73212,0.73895,0.68074,0.69752,0.65249,0.58599,0.58223,0.54265,0.51478,0.57188,0.54032,0.54776,0.53819,0.54681,0.56305,0.60226,0.6659,0.65831,0.63722,0.62034,0.66883,0.63278,0.61494,0.6073,0.55705,0.55171,0.55244,0.57072,0.57924,0.55993,0.53536,0.51013,0.5242,0.55799,0.54268,0.52852,0.51831,0.50209,0.52301,0.5007,0.48825,0.51245,0.51628,0.48635,0.49499,0.50821,0.51239,0.49907,0.48245,0.4985,0.50442,0.47453,0.47278,0.51148,0.54105,0.54108,0.5464,0.54741,0.54402,0.57098,0.56549,0.56686,0.58352,0.56482,0.54347,0.5622,0.55664,0.57261,0.53827,0.5356,0.55603,0.56781,0.582,0.57304,0.56837,0.56657,0.55949,0.58401,0.59546,0.58028,0.59555,0.59158,0.58389,0.59071,0.58363,0.57321,0.59397,0.58261,0.58548,0.60109,0.58169,0.56686,0.56538,0.56923,0.54328,0.53656,0.56533,0.53787
Buzzard Creek 8,0.54419,0.51975,0.4597,0.52331,0.51008,0.53532,0.51363,0.56064,0.58911,0.57394,0.59676,0.60353,0.58404,0.59767,0.60729,0.59704,0.59481,0.60468,0.59027,0.57523,0.60299,0.60039,0.58403,0.58417,0.58043,0.55371,0.5504,0.53263,0.50289,0.50785,0.50101,0.49967,0.50186,0.49277,0.485,0.48846,0.46986,0.44243,0.43406,0.42285,0.41567,0.39525,0.3857,0.37273,0.3815,0.36345,0.38205,0.38627,0.41255,0.42535,0.45092,0.47616,0.49723,0.51305,0.53662,0.53907,0.57972,0.58758,0.57639,0.55361,0.55497,0.54522,0.54444,0.54652,0.55617,0.53864,0.5498,0.5308,0.48474,0.42311,0.38367,0.35139,0.35856,0.34765,0.32069,0.3186,0.28166,0.262,0.22303,0.20698,0.16801,0.16539,0.14975,0.13456,0.13149,0.11835,0.12664,0.10524,0.094589,0.088307,0.1017,0.1156,0.13883,0.12922,0.12628,0.12055,0.11715,0.099285,0.10526,0
Buzzard Creek 9,0.60028,0.60354,0.58076,0.52944,0.52531,0.57167,0.64374,0.67252,0.67238,0.63523,0.59484,0.56468,0.5964,0.56557,0.5968,0.61762,0.57816,0.57442,0.57618,0.59946,0.63005,0.61316,0.62096,0.61044,0.58905,0.59906,0.60372,0.59881,0.61428,0.60585,0.61725,0.60788,0.62636,0.62088,0.64358,0.63445,0.63319,0.62687,0.60949,0.60341,0.60319,0.60378,0.57903,0.5556,0.5624,0.5366,0.5267,0.52708,0.53256,0.52832,0.52109,0.52455,0.57242,0.55876,0.57515,0.58545,0.60071,0.61047,0.61115,0.63565,0.6237,0.62265,0.65058,0.63851,0.6011,0.5811,0.55364,0.50019,0.48409,0.43085,0.40779,0.40108,0.36258,0.3699,0.36605,0.33833,0.27399,0.24158,0.23706,0.20957,0.1922,0.18167,0.14798,0.14313,0.11514,0.094005,0.072713,0.062069,0.065898,0.066333,0.066814,0.057352,0.062276,0.051925,0.066215,0.065068,0.06789,0.075241,0.081207,0.069554
Chintiminy 1,0.56509,0.60662,0.60109,0.53984,0.52437,0.53715,0.50481,0.55494,0.54621,0.6064,0.60962,0.58778,0.59727,0.59314,0.62056,0.63227,0.61638,0.66702,0.6447,0.66733,0.65783,0.69322,0.7025,0.72733,0.6836,0.6833,0.69485,0.71153,0.71596,0.69197,0.68984,0.67182,0.67792,0.67643,0.68394,0.68227,0.70441,0.68306,0.6839,0.68326,0.67773,0.69095,0.66768,0.69374,0.67384,0.67492,0.67303,0.66373,0.69014,0.69836,0.71771,0.72976,0.74093,0.74511,0.72892,0.718,0.74209,0.74615,0.7583,0.74739,0.75043,0.75495,0.73236,0.71969,0.72112,0.71527,0.69328,0.68408,0.68709,0.70069,0.67068,0.69119,0.6804,0.68573,0.68887,0.64462,0.63174,0.61693,0.60202,0.57885,0.54749,0.54419,0.53686,0.51536,0.51512,0.49525,0.47254,0.46495,0.44635,0.43493,0.41357,0.3889,0.35427,0.31781,0.29964,0.29151,0.27638,0.21846,0.17528,0
Chintiminy 2,0.62357,0.63934,0.71935,0.75472,0.73097,0.71635,0.74198,0.76626,0.76478,0.78774,0.79395,0.77657,0.78626,0.78936,0.812,0.81047,0.8346,0.79955,0.7955,0.77991,0.77645,0.77724,0.79784,0.82328,0.84167,0.83241,0.83263,0.84886,0.83789,0.84413,0.83708,0.84876,0.84773,0.83588,0.81821,0.83313,0.81337,0.79774,0.77802,0.77525,0.75726,0.76891,0.76133,0.76956,0.76738,0.76291,0.78546,0.77025,0.76938,0.76744,0.71792,0.72149,0.73173,0.7391,0.77248,0.77155,0.76841,0.75083,0.75947,0.74575,0.76568,0.75601,0.74767,0.76097,0.72922,0.72168,0.73048,0.72013,0.70874,0.72818,0.71113,0.70114,0.69798,0.69194,0.70382,0.69344,0.69322,0.6844,0.68133,0.6663,0.64602,0.63758,0.61681,0.58842,0.56914,0.53413,0.49611,0.4812,0.42038,0.35831,0.3342,0.27964,0.21476,0.18506,0.14779,0.13573,0.10962,0.08856,0.066596,0
Chintiminy 3,0.42338,0.60202,0.70189,0.67449,0.66904,0.64099,0.67749,0.69206,0.70463,0.71652,0.69081,0.69782,0.74449,0.77478,0.75529,0.77325,0.77924,0.79352,0.79082,0.78783,0.73507,0.70605,0.67497,0.67782,0.68981,0.69265,0.67309,0.68813,0.70619,0.71898,0.74625,0.76188,0.75374,0.74082,0.76464,0.77536,0.77815,0.75773,0.77344,0.7691,0.76523,0.76555,0.77085,0.78794,0.76672,0.77618,0.76761,0.77552,0.76476,0.73712,0.77502,0.77252,0.75827,0.7679,0.77386,0.76434,0.76738,0.75103,0.75023,0.76135,0.74961,0.75827,0.76797,0.78412,0.77979,0.77972,0.79038,0.77549,0.76621,0.75852,0.7437,0.73043,0.73275,0.72549,0.72315,0.7259,0.72009,0.7134,0.71679,0.71802,0.70505,0.69889,0.68023,0.66866,0.61505,0.61115,0.61758,0.59514,0.56088,0.53934,0.53136,0.50836,0.49636,0.45361,0.42693,0.39669,0.37329,0.34158,0.32775,0
Chintiminy 4,0.82354,0.69183,0.65547,0.62525,0.60251,0.62748,0.61916,0.62941,0.6858,0.7112,0.73292,0.79107,0.79637,0.77981,0.80769,0.81789,0.84359,0.85697,0.85897,0.87895,0.87475,0.86679,0.85898,0.86,0.87666,0.8442,0.8357,0.83592,0.81832,0.78716,0.78474,0.79321,0.80969,0.80394,0.80095,0.80703,0.80346,0.81727,0.80812,0.80853,0.81796,0.82273,0.81771,0.80632,0.80428,0.79912,0.79854,0.79725,0.79608,0.79789,0.7747,0.77522,0.78874,0.78843,0.77849,0.77109,0.77378,0.78531,0.79041,0.78895,0.79351,0.78384,0.77843,0.78101,0.75586,0.76498,0.76145,0.7633,0.76394,0.76254,0.74033,0.74028,0.76212,0.75846,0.7714,0.7674,0.76021,0.75219,0.7383,0.72829,0.69851,0.68114,0.66614,0.65455,0.6421,0.61476,0.56226,0.51258,0.48185,0.45002,0.41307,0.39873,0.3871,0.36931,0.35749,0.36017,0.34965,0.34115,0.33496,0.31964
Chintiminy 5,0.68032,0.63198,0.60567,0.57865,0.58491,0.57466,0.55661,0.54684,0.56255,0.4994,0.50914,0.52697,0.57462,0.57096,0.57816,0.59079,0.59562,0.56388,0.57983,0.58881,0.60621,0.60165,0.62743,0.60952,0.60841,0.60507,0.60877,0.6477,0.61356,0.63131,0.66007,0.68571,0.68699,0.68298,0.69233,0.72066,0.72456,0.74414,0.74737,0.76083,0.75963,0.74926,0.74346,0.73441,0.73538,0.73484,0.75839,0.77899,0.76668,0.74652,0.78226,0.79335,0.76133,0.76665,0.78002,0.79756,0.79631,0.77861,0.76122,0.77088,0.76841,0.7589,0.75785,0.74878,0.73222,0.73018,0.72847,0.69931,0.69655,0.69587,0.67587,0.66089,0.65844,0.62742,0.62815,0.62,0.60181,0.61089,0.64183,0.67082,0.64159,0.56223,0.50482,0.47265,0.4922,0.44749,0.39593,0.3351,0.299,0.2765,0.25414,0.23215,0.20932,0.19422,0.18014,0.15712,0.15233,0.13652,0.12751,0.117
Chintiminy 6,0.17678,0.49809,0.51008,0.58288,0.61682,0.61499,0.63614,0.60353,0.59886,0.60051,0.59127,0.52983,0.55628,0.61956,0.66698,0.68249,0.73028,0.72878,0.73162,0.72727,0.71175,0.72962,0.75052,0.75733,0.73936,0.742,0.74903,0.74289,0.7435,0.74952,0.73209,0.70624,0.70873,0.72444,0.73478,0.72117,0.7234,0.72113,0.73577,0.71535,0.70407,0.71811,0.68826,0.69261,0.67827,0.68005,0.69116,0.69115,0.69157,0.67575,0.66478,0.66323,0.65446,0.64366,0.6532,0.64163,0.59867,0.60145,0.60115,0.60018,0.55935,0.52184,0.49719,0.47078,0.46126,0.43077,0.41918,0.43568,0.44871,0.44481,0.43804,0.43147,0.40756,0.40389,0.3888,0.37917,0.34607,0.31111,0.2881,0.27638,0.27796,0.27247,0.26811,0.25856,0.25323,0.2467,0.2324,0.25634,0.25994,0.23248,0.20862,0.18141,0.18787,0.20436,0.19968,0.16567,0.16219,0.17918,0.16651,0
Chintiminy 7,0.60994,0.67781,0.66798,0.56659,0.56214,0.59916,0.64728,0.58039,0.59496,0.56994,0.55089,0.58282,0.61162,0.58972,0.55621,0.5762,0.60219,0.61343,0.6255,0.62372,0.5991,0.56791,0.56555,0.54457,0.53243,0.5346,0.54182,0.56221,0.53948,0.55067,0.53146,0.51462,0.52694,0.51615,0.5002,0.51948,0.49366,0.49907,0.50727,0.52911,0.54272,0.54628,0.56872,0.58231,0.57531,0.54554,0.54054,0.54996,0.5832,0.59805,0.59074,0.57691,0.59566,0.61643,0.60095,0.61613,0.64122,0.63522,0.64936,0.66939,0.6544,0.65804,0.62589,0.60459,0.6307,0.6323,0.63642,0.65808,0.65777,0.64028,0.63112,0.63719,0.65023,0.64243,0.62867,0.63917,0.65285,0.61121,0.63761,0.63905,0.624,0.62185,0.60884,0.55211,0.54274,0.52025,0.49894,0.48392,0.4658,0.44066,0.39046,0.35424,0.31274,0.26966,0.20309,0.15931,0.1434,0.1172,0.10194,0.0974
Chintiminy 8,0.49798,0.49987,0.54989,0.52314,0.49469,0.51575,0.52822,0.52011,0.51312,0.542,0.56468,0.58911,0.58276,0.57847,0.55757,0.58381,0.56592,0.57541,0.56433,0.56709,0.5493,0.5472,0.55273,0.54349,0.54665,0.53951,0.53925,0.54022,0.55032,0.54721,0.54968,0.55558,0.57418,0.57928,0.58237,0.59509,0.60988,0.58943,0.59248,0.57889,0.5907,0.58507,0.5979,0.57626,0.59117,0.59318,0.59365,0.57023,0.57723,0.56699,0.55535,0.55533,0.55342,0.54557,0.56777,0.57619,0.57437,0.57977,0.57303,0.57298,0.57313,0.56956,0.57645,0.57213,0.54417,0.55379,0.54147,0.52333,0.52142,0.52633,0.53649,0.56054,0.56137,0.58846,0.59606,0.58681,0.59528,0.58695,0.59013,0.59349,0.57882,0.59457,0.61516,0.61696,0.6051,0.61715,0.58721,0.55399,0.55463,0.56395,0.57004,0.52939,0.4822,0.46982,0.44901,0.42528,0.41413,0.39908,0.36036,0.33095
Chintiminy 9,0.45523,0.53653,0.65425,0.66015,0.63388,0.64053,0.64198,0.69699,0.73662,0.73491,0.71489,0.72076,0.72471,0.75355,0.74126,0.71239,0.68055,0.67647,0.67233,0.67807,0.6765,0.65184,0.65031,0.65734,0.67371,0.68606,0.67894,0.66361,0.69208,0.67544,0.70314,0.67193,0.65049,0.67983,0.68883,0.7067,0.6885,0.68522,0.70327,0.69978,0.70962,0.72257,0.71612,0.72523,0.73664,0.73578,0.71847,0.71442,0.70938,0.70328,0.69842,0.70674,0.71073,0.71152,0.71352,0.7099,0.7065,0.71178,0.70024,0.7038,0.7115,0.69105,0.68794,0.68459,0.69164,0.68876,0.6759,0.67327,0.65985,0.62756,0.61321,0.59035,0.51863,0.46135,0.43499,0.4335,0.415,0.38547,0.36898,0.33035,0.28305,0.2848,0.27007,0.25683,0.24127,0.22349,0.20179,0.19217,0.17296,0.16035,0.1607,0.14687,0.13035,0.12522,0.12028,0.10512,0.084411,0.082666,0.059453,0.032116
East Ashland 1,0.48427,0.50849,0.6037,0.59068,0.54866,0.53688,0.65733,0.66086,0.63817,0.63044,0.65144,0.64903,0.62953,0.65358,0.66428,0.66514,0.65611,0.6636,0.66782,0.63752,0.63458,0.64835,0.65367,0.66036,0.65487,0.63077,0.62762,0.66168,0.63997,0.66343,0.65539,0.66956,0.66141,0.68416,0.66007,0.64376,0.63072,0.64079,0.64834,0.64516,0.64686,0.63032,0.63165,0.64114,0.6407,0.62666,0.61162,0.60409,0.63071,0.63577,0.62299,0.60541,0.61122,0.61669,0.61632,0.61535,0.59609,0.59686,0.60064,0.60515,0.60404,0.58962,0.59534,0.58916,0.58917,0.58348,0.57922,0.56325,0.5631,0.56556,0.5629,0.5605,0.55774,0.55571,0.54389,0.53277,0.52583,0.51815,0.47846,0.455,0.44355,0.43232,0.41135,0.41102,0.40723,0.38784,0.36921,0.36119,0.3588,0.34863,0.33827,0.33035,0.32244,0.30689,0.29954,0.28189,0.27507,0.27449,0.25348,0.23998
East Ashland 2,0.49536,0.92901,0.9092,0.82022,0.82094,0.77162,0.74835,0.72254,0.71559,0.66053,0.60388,0.6091,0.61302,0.61094,0.57182,0.58515,0.58056,0.5657,0.56829,0.5648,0.54142,0.53167,0.54533,0.53969,0.56499,0.58429,0.58878,0.59416,0.60422,0.58962,0.61096,0.63182,0.62483,0.6349,0.61384,0.65937,0.65879,0.62894,0.59515,0.59327,0.61762,0.60589,0.59239,0.58873,0.58627,0.59414,0.56204,0.5588,0.56559,0.56193,0.53781,0.53966,0.53917,0.53559,0.53599,0.53608,0.54549,0.55138,0.54007,0.54094,0.55678,0.55341,0.54682,0.57286,0.56122,0.55685,0.53619,0.55903,0.54921,0.56227,0.55068,0.54988,0.54663,0.5415,0.49393,0.47771,0.45866,0.45768,0.44604,0.43132,0.4151,0.40244,0.38014,0.38071,0.35926,0.35572,0.33604,0.34113,0.33952,0.33199,0.32168,0.30862,0.2888,0.28171,0.27746,0.27588,0.25519,0.23644,0.22777,0.23158
East Ashland 3,0.54567,0.48038,0.4488,0.51529,0.46748,0.4429,0.51344,0.61724,0.66848,0.58057,0.54637,0.57932,0.60013,0.62318,0.5819,0.56974,0.55708,0.53436,0.5693,0.55469,0.54453,0.53955,0.54004,0.52197,0.55809,0.56022,0.58785,0.56576,0.54059,0.56143,0.58288,0.56633,0.58643,0.60052,0.62024,0.6092,0.60892,0.61645,0.61816,0.61157,0.61834,0.61283,0.62489,0.63,0.61254,0.61153,0.62413,0.63419,0.62584,0.64112,0.64055,0.63314,0.63963,0.64388,0.66931,0.66478,0.68093,0.67776,0.66758,0.67146,0.67904,0.65692,0.66855,0.67358,0.66793,0.68532,0.6643,0.65539,0.66235,0.64639,0.63653,0.63932,0.62517,0.61256,0.60515,0.60492,0.59299,0.58096,0.55379,0.55097,0.53502,0.49468,0.45541,0.43151,0.4223,0.41516,0.40311,0.37087,0.35218,0.35279,0.32777,0.32824,0.30832,0.30352,0.29521,0.29844,0.2923,0.28995,0.26959,0
East Ashland 4,1,1,1,1,1,0.99674,0.92579,0.86727,0.86272,0.79771,0.6807,0.62123,0.64698,0.64383,0.61046,0.6046,0.59374,0.5808,0.57485,0.58688,0.58407,0.5577,0.54588,0.56812,0.51313,0.46989,0.45655,0.49696,0.51843,0.51016,0.51835,0.50801,0.49652,0.50833,0.53577,0.52901,0.53075,0.49552,0.52065,0.52311,0.51394,0.51674,0.51752,0.51277,0.50688,0.4818,0.45868,0.47083,0.47922,0.48901,0.50507,0.5059,0.51457,0.57276,0.60592,0.59572,0.60518,0.60376,0.59454,0.60054,0.61608,0.61582,0.60714,0.61166,0.61445,0.61891,0.62463,0.62421,0.62621,0.60496,0.62038,0.60878,0.58484,0.57606,0.58066,0.58157,0.56862,0.54921,0.5501,0.54508,0.54134,0.52237,0.53193,0.52869,0.52828,0.53484,0.5272,0.52949,0.53106,0.52056,0.51147,0.50218,0.4901,0.49239,0.44841,0.42347,0.38829,0.38376,0.40465,0.38407
East Ashland 5,1,1,1,1,1,1,0.99549,0.9164,0.86496,0.84951,0.79102,0.73075,0.74077,0.76578,0.73728,0.70707,0.67938,0.68192,0.67202,0.64899,0.65217,0.66949,0.6813,0.67143,0.65903,0.6002,0.56178,0.54795,0.54227,0.55398,0.53041,0.51433,0.5155,0.51043,0.51998,0.50199,0.54028,0.5692,0.56417,0.55811,0.56499,0.58997,0.56007,0.57207,0.56476,0.57794,0.59304,0.57292,0.55795,0.5657,0.56792,0.57858,0.5613,0.54577,0.56098,0.57001,0.55753,0.55635,0.53186,0.5416,0.53671,0.52761,0.53144,0.52749,0.50325,0.49096,0.46774,0.46815,0.47927,0.47092,0.48188,0.45876,0.4581,0.44922,0.46008,0.46736,0.45094,0.4514,0.44127,0.4291,0.43722,0.40701,0.40123,0.39324,0.37657,0.36514,0.35415,0.35159,0.35399,0.34931,0.37171,0.36172,0.34722,0.33835,0.32438,0.32835,0.31656,0.32516,0.31694,0.30824
East Ashland 6,1,1,1,0.98401,0.97402,0.94936,0.92898,0.91937,0.91137,0.9065,0.90699,0.91043,0.90512,0.87245,0.88398,0.87894,0.86948,0.88762,0.86258,0.80861,0.7636,0.75223,0.76225,0.75563,0.74629,0.74191,0.7135,0.70779,0.68878,0.65655,0.65731,0.6298,0.60887,0.60877,0.61287,0.60561,0.60137,0.58502,0.58518,0.56722,0.56928,0.58391,0.6121,0.57067,0.56652,0.56212,0.56411,0.54875,0.5345,0.54773,0.53151,0.52263,0.52378,0.51693,0.53474,0.55345,0.55786,0.55673,0.56746,0.55379,0.53998,0.53925,0.53078,0.5289,0.54356,0.55554,0.54969,0.53669,0.53402,0.53026,0.53566,0.54346,0.57026,0.58336,0.56786,0.56944,0.57809,0.56823,0.54723,0.55417,0.57362,0.55064,0.57911,0.5875,0.57529,0.55947,0.53933,0.51481,0.47226,0.44805,0.41735,0.39491,0.35697,0.32871,0.31466,0.30495,0.31149,0.30509,0.30297,0.28494
East Ashland 7,1,1,1,0.91636,0.73146,0.57425,0.52858,0.53668,0.5452,0.53852,0.55867,0.60509,0.57409,0.54634,0.49047,0.51519,0.55192,0.54072,0.55164,0.53846,0.54263,0.5243,0.52701,0.4932,0.53698,0.54487,0.54071,0.52023,0.54137,0.53758,0.52537,0.53455,0.5051,0.52409,0.4972,0.49624,0.50688,0.51774,0.53713,0.51038,0.48359,0.48236,0.47001,0.46177,0.46183,0.47469,0.49657,0.49573,0.48863,0.47518,0.48142,0.46666,0.46663,0.4634,0.4826,0.48113,0.47393,0.47673,0.50639,0.51633,0.53472,0.51991,0.5034,0.51538,0.5136,0.49583,0.47818,0.48246,0.49408,0.49471,0.50225,0.48571,0.47726,0.49278,0.50472,0.49805,0.48547,0.48783,0.48625,0.47826,0.46856,0.46322,0.46446,0.44722,0.46961,0.4666,0.44579,0.43408,0.41924,0.39444,0.38299,0.3787,0.35997,0.33138,0.31885,0.29882,0.29855,0.28075,0.26645,0.25735
East Ashland 8,0.60427,0.63625,0.47138,0.41599,0.43454,0.48441,0.48161,0.46862,0.43132,0.41752,0.41544,0.40305,0.4254,0.46266,0.42278,0.4402,0.47623,0.44481,0.46514,0.46999,0.45861,0.45974,0.45764,0.466,0.46459,0.45891,0.48179,0.47465,0.49872,0.46777,0.49979,0.49337,0.47823,0.48354,0.46507,0.48414,0.50558,0.5294,0.51214,0.49327,0.4984,0.49262,0.49598,0.49855,0.51481,0.52423,0.5222,0.53653,0.54385,0.54186,0.53803,0.53735,0.53928,0.53995,0.56444,0.56558,0.57277,0.58044,0.58517,0.58275,0.57723,0.5897,0.59603,0.59409,0.59657,0.59869,0.59422,0.58505,0.57787,0.56869,0.56948,0.55624,0.57016,0.56737,0.56502,0.5367,0.47053,0.42146,0.37733,0.36332,0.34105,0.335,0.31677,0.29175,0.25795,0.24824,0.23539,0.21817,0.22166,0.20462,0.1949,0.18623,0.18083,0.16355,0.13222,0.10978,0.1004,0.092036,0.070974,0
East Ashland 9,0.66454,0.6871,0.59428,0.56624,0.52709,0.44945,0.42638,0.4169,0.45776,0.50853,0.58581,0.53341,0.44375,0.40581,0.37509,0.39331,0.39846,0.43183,0.45241,0.4426,0.44003,0.40527,0.38665,0.42035,0.42764,0.3973,0.41164,0.45372,0.51988,0.50333,0.4783,0.49924,0.52004,0.53135,0.54857,0.54265,0.51636,0.5242,0.53817,0.54093,0.55273,0.54755,0.5591,0.56702,0.55916,0.55697,0.548,0.53538,0.53333,0.56164,0.56246,0.54827,0.54265,0.5682,0.55698,0.57559,0.57687,0.59485,0.58758,0.60768,0.60826,0.59155,0.63611,0.61898,0.64023,0.66036,0.63756,0.63364,0.61837,0.60442,0.57483,0.55968,0.53626,0.52572,0.50593,0.47941,0.48216,0.49745,0.50993,0.48958,0.47413,0.47873,0.44634,0.43044,0.43435,0.44584,0.43945,0.41362,0.3961,0.39407,0.41297,0.40662,0.40399,0.4108,0.4089,0.40122,0.39076,0.37079,0.36145,0.3391
