,OPC1,GLSA,GLSA.RANK,NECI,NECI.RANK,NEFU,NEFU.RANK,FOREST,names,OMDS2,DMDS1,OMDS1,,,,,,,
Savage Bluffs 5,7.038172997,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,Savage,0.227010585,-0.739086609,0.209320556,,,,,,,
Savage Bluffs 6,5.551034175,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,Savage,0.175321765,-0.762479685,0.212472583,,,,,,,
Savage Bluffs 7,3.210199,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,Savage,0.094382358,-0.371227376,0.066553197,,,,,,,
Savage Bluffs 8,-0.309588629,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,Savage,-0.015199213,-0.299793333,0.013263401,,,,,,,
Savage Bluffs 9,4.914607829,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,Savage,0.148025509,-0.036425527,0.314574068,,,,,,,
Schooner Creek 1,-0.281945386,16,HIGH,3.7,MID,2.7,LOW,TILLER,Schooner,-0.015744004,-0.108120121,0.014290714,,,,,,,
Schooner Creek 2,-3.626597871,16,HIGH,3.7,MID,2.7,LOW,TILLER,Schooner,-0.112816123,-0.403706167,0.066404839,,,,,,,
Schooner Creek 3,1.236519504,16,HIGH,3.7,MID,2.7,LOW,TILLER,Schooner,0.03131521,0.239862944,0.04442107,,,,,,,
Schooner Creek 4,-1.673293667,16,HIGH,3.7,MID,2.7,LOW,TILLER,Schooner,-0.057101004,0.366694426,-0.046854497,,,,,,,
Schooner Creek 5,-0.1192413,16,HIGH,3.7,MID,2.7,LOW,TILLER,Schooner,-0.011261641,0.697553525,-0.089254341,,,,,,,
Schooner Creek 6,-3.903100186,16,HIGH,3.7,MID,2.7,LOW,TILLER,Schooner,-0.118565097,-0.164216669,-0.083842341,,,,,,,
Schooner Creek 7,1.598533323,16,HIGH,3.7,MID,2.7,LOW,TILLER,Schooner,0.041868998,0.157696414,-0.014610334,,,,,,,
Schooner Creek 8,-2.447733244,16,HIGH,3.7,MID,2.7,LOW,TILLER,Schooner,-0.078174849,-0.322135782,-0.028099607,,,,,,,
Schooner Creek 9,-1.352891963,16,HIGH,3.7,MID,2.7,LOW,TILLER,Schooner,-0.048444818,-0.192590417,0.026933575,,,,,,,
Three Horn 1,4.381598132,3.33,LOW,0,NONE,6.7,MID,TILLER,Three,0.131021842,0.46694822,-0.025567285,,,,,,,
Three Horn 2,-1.579568419,3.33,LOW,0,NONE,6.7,MID,TILLER,Three,-0.049149259,0.622754145,-0.161632055,,,,,,,
Three Horn 3,2.170243433,3.33,LOW,0,NONE,6.7,MID,TILLER,Three,0.060016907,0.161290494,-0.010080589,,,,,,,
Three Horn 4,2.082796096,3.33,LOW,0,NONE,6.7,MID,TILLER,Three,0.056965158,0.501879526,-0.071461998,,,,,,,
Three Horn 5,0.823519618,3.33,LOW,0,NONE,6.7,MID,TILLER,Three,0.018979288,-0.103446756,-0.097962096,,,,,,,
Three Horn 6,-1.660184114,3.33,LOW,0,NONE,6.7,MID,TILLER,Three,-0.054275505,0.645225355,-0.157726131,,,,,,,
Three Horn 7,3.208810848,3.33,LOW,0,NONE,6.7,MID,TILLER,Three,0.092231726,0.628802748,0.057187331,,,,,,,
Three Horn 8,3.10762694,3.33,LOW,0,NONE,6.7,MID,TILLER,Three,0.069062651,0.051213839,-0.091621955,,,,,,,
Three Horn 9,1.622644967,3.33,LOW,0,NONE,6.7,MID,TILLER,Three,0.04304006,0.150047908,-0.037813366,,,,,,,
Trail Creek 1,0.572400028,18,HIGH,5,HIGH,13,MID,TILLER,Trail,0.011100825,0.040144509,-0.038488129,,,,,,,
Trail Creek 2,8.655986854,18,HIGH,5,HIGH,13,MID,TILLER,Trail,0.295527732,0.972827278,0.046695471,,,,,,,
Trail Creek 3,0.941809574,18,HIGH,5,HIGH,13,MID,TILLER,Trail,0.020824805,-0.439963979,-0.016242,,,,,,,
Trail Creek 4,3.404153379,18,HIGH,5,HIGH,13,MID,TILLER,Trail,0.099049799,-0.033497047,0.017415269,,,,,,,
Trail Creek 5,-1.605229535,18,HIGH,5,HIGH,13,MID,TILLER,Trail,-0.054054669,0.758536482,-0.064695156,,,,,,,
Trail Creek 6,4.566895785,18,HIGH,5,HIGH,13,MID,TILLER,Trail,0.142160177,-0.29681932,0.043192539,,,,,,,
Trail Creek 7,-2.398967839,18,HIGH,5,HIGH,13,MID,TILLER,Trail,-0.075634479,-0.044511979,-0.114590854,,,,,,,
Trail Creek 8,0.638571414,18,HIGH,5,HIGH,13,MID,TILLER,Trail,0.011774942,0.548745954,-0.050570303,,,,,,,
Trail Creek 9,4.180482417,18,HIGH,5,HIGH,13,MID,TILLER,Trail,0.126397727,1.007829565,0.118319857,,,,,,,
Wildcat 1,-1.581332904,7.7,LOW,1,LOW,20.3,HIGH,TILLER,Wildcat,-0.053848864,0.194651045,-0.118500605,,,,,,,
Wildcat 2,-3.903314024,7.7,LOW,1,LOW,20.3,HIGH,TILLER,Wildcat,-0.118124407,-0.484821418,0.024706568,,,,,,,
Wildcat 3,2.502331489,7.7,LOW,1,LOW,20.3,HIGH,TILLER,Wildcat,0.070028646,0.13084028,0.165179686,,,,,,,
Wildcat 4,0.094977012,7.7,LOW,1,LOW,20.3,HIGH,TILLER,Wildcat,-0.00526762,-0.300235136,0.161381706,,,,,,,
Wildcat 5,-1.029442415,7.7,LOW,1,LOW,20.3,HIGH,TILLER,Wildcat,-0.038548976,-0.074958708,0.027269278,,,,,,,
Wildcat 6,4.045774287,7.7,LOW,1,LOW,20.3,HIGH,TILLER,Wildcat,0.117475731,-0.549805272,0.349558848,,,,,,,
Wildcat 7,-6.025997617,7.7,LOW,1,LOW,20.3,HIGH,TILLER,Wildcat,-0.175030749,-0.274447466,0.017215981,,,,,,,
Wildcat 8,0.242331423,7.7,LOW,1,LOW,20.3,HIGH,TILLER,Wildcat,-0.001229599,-0.173269818,0.101469666,,,,,,,
Wildcat 9,-0.452817999,7.7,LOW,1,LOW,20.3,HIGH,TILLER,Wildcat,-0.020602924,-0.512168368,-0.016570013,,,,,,,
